ㄝ ㄝ e , big5
般 ㄅㄛ bo 1i big5
碆 ㄅㄛ bo 1i big5
袚 ㄅㄛ bo 1i big5
襏 ㄅㄛ bo 1i big5
鱍 ㄅㄛ bo 1i big5
啵 ㄅㄛ bo 1i big5
柭 ㄅㄛ bo 1i big5
蹳 ㄅㄛ bo 1i big5
岥 ㄅㄛ bo 1i big5
蔔 ㄅㄛ bo 1i big5
波 ㄅㄛ bo 1i big5
鉢 ㄅㄛ bo 1i utf8
㿺 ㄅㄛ bo 1i utf8
䃗 ㄅㄛ bo 1i utf8
剥 ㄅㄛ bo 1i utf8
溊 ㄅㄛ bo 1i utf8
癶 ㄅㄛ bo 1i utf8
盋 ㄅㄛ bo 1i utf8
紴 ㄅㄛ bo 1i utf8
肑 ㄅㄛ bo 1i utf8
驋 ㄅㄛ bo 1i utf8
鮁 ㄅㄛ bo 1i utf8
𠱀 ㄅㄛ bo 1i utf8
跛 ㄅㄛˇ bo3 1i3 big5
簸 ㄅㄛˇ bo3 1i3 big5
蚾 ㄅㄛˇ bo3 1i3 big5
播 ㄅㄛˋ bo4 1i4 big5
擘 ㄅㄛˋ bo4 1i4 big5
簸 ㄅㄛˋ bo4 1i4 big5
亳 ㄅㄛˋ bo4 1i4 big5
薜 ㄅㄛˋ bo4 1i4 big5
譒 ㄅㄛˋ bo4 1i4 big5
薄 ㄅㄛˋ bo4 1i4 big5
檗 ㄅㄛˋ bo4 1i4 big5
蘗 ㄅㄛˋ bo4 1i4 big5
繴 ㄅㄛˋ bo4 1i4 big5
挀 ㄅㄛˋ bo4 1i4 big5
㵨 ㄅㄛˋ bo4 1i4 utf8
孹 ㄅㄛˋ bo4 1i4 utf8
檘 ㄅㄛˋ bo4 1i4 utf8
襎 ㄅㄛˋ bo4 1i4 utf8
伯 ㄅㄛˊ bo2 1i6 big5
博 ㄅㄛˊ bo2 1i6 big5
柏 ㄅㄛˊ bo2 1i6 big5
泊 ㄅㄛˊ bo2 1i6 big5
勃 ㄅㄛˊ bo2 1i6 big5
搏 ㄅㄛˊ bo2 1i6 big5
渤 ㄅㄛˊ bo2 1i6 big5
駁 ㄅㄛˊ bo2 1i6 big5
白 ㄅㄛˊ bo2 1i6 big5
薄 ㄅㄛˊ bo2 1i6 big5
脖 ㄅㄛˊ bo2 1i6 big5
帛 ㄅㄛˊ bo2 1i6 big5
舶 ㄅㄛˊ bo2 1i6 big5
箔 ㄅㄛˊ bo2 1i6 big5
荸 ㄅㄛˊ bo2 1i6 big5
蔔 ㄅㄛˊ bo2 1i6 big5
膊 ㄅㄛˊ bo2 1i6 big5
鈸 ㄅㄛˊ bo2 1i6 big5
餑 ㄅㄛˊ bo2 1i6 big5
鉑 ㄅㄛˊ bo2 1i6 big5
欂 ㄅㄛˊ bo2 1i6 big5
鵓 ㄅㄛˊ bo2 1i6 big5
踣 ㄅㄛˊ bo2 1i6 big5
浡 ㄅㄛˊ bo2 1i6 big5
襮 ㄅㄛˊ bo2 1i6 big5
踄 ㄅㄛˊ bo2 1i6 big5
鎛 ㄅㄛˊ bo2 1i6 big5
駮 ㄅㄛˊ bo2 1i6 big5
僰 ㄅㄛˊ bo2 1i6 big5
餺 ㄅㄛˊ bo2 1i6 big5
髆 ㄅㄛˊ bo2 1i6 big5
桲 ㄅㄛˊ bo2 1i6 big5
謈 ㄅㄛˊ bo2 1i6 big5
檗 ㄅㄛˊ bo2 1i6 big5
馞 ㄅㄛˊ bo2 1i6 big5
胉 ㄅㄛˊ bo2 1i6 big5
挬 ㄅㄛˊ bo2 1i6 big5
猼 ㄅㄛˊ bo2 1i6 big5
葧 ㄅㄛˊ bo2 1i6 big5
鋍 ㄅㄛˊ bo2 1i6 big5
懪 ㄅㄛˊ bo2 1i6 big5
簙 ㄅㄛˊ bo2 1i6 big5
礴 ㄅㄛˊ bo2 1i6 big5
礡 ㄅㄛˊ bo2 1i6 big5
鑮 ㄅㄛˊ bo2 1i6 big5
郣 ㄅㄛˊ bo2 1i6 big5
鸔 ㄅㄛˊ bo2 1i6 big5
糪 ㄅㄛˊ bo2 1i6 big5
㔜 ㄅㄛˊ bo2 1i6 utf8
㗘 ㄅㄛˊ bo2 1i6 utf8
㩛 ㄅㄛˊ bo2 1i6 utf8
㩧 ㄅㄛˊ bo2 1i6 utf8
㫲 ㄅㄛˊ bo2 1i6 utf8
㴖 ㄅㄛˊ bo2 1i6 utf8
㶿 ㄅㄛˊ bo2 1i6 utf8
㹮 ㄅㄛˊ bo2 1i6 utf8
㼎 ㄅㄛˊ bo2 1i6 utf8
㿟 ㄅㄛˊ bo2 1i6 utf8
䄶 ㄅㄛˊ bo2 1i6 utf8
䈏 ㄅㄛˊ bo2 1i6 utf8
䌟 ㄅㄛˊ bo2 1i6 utf8
䗚 ㄅㄛˊ bo2 1i6 utf8
䞳 ㄅㄛˊ bo2 1i6 utf8
䟔 ㄅㄛˊ bo2 1i6 utf8
䟮 ㄅㄛˊ bo2 1i6 utf8
䪬 ㄅㄛˊ bo2 1i6 utf8
䭯 ㄅㄛˊ bo2 1i6 utf8
䮀 ㄅㄛˊ bo2 1i6 utf8
䯋 ㄅㄛˊ bo2 1i6 utf8
䳆 ㄅㄛˊ bo2 1i6 utf8
仢 ㄅㄛˊ bo2 1i6 utf8
侼 ㄅㄛˊ bo2 1i6 utf8
叐 ㄅㄛˊ bo2 1i6 utf8
妭 ㄅㄛˊ bo2 1i6 utf8
学 ㄅㄛˊ bo2 1i6 utf8
帞 ㄅㄛˊ bo2 1i6 utf8
愂 ㄅㄛˊ bo2 1i6 utf8
愽 ㄅㄛˊ bo2 1i6 utf8
敀 ㄅㄛˊ bo2 1i6 utf8
栢 ㄅㄛˊ bo2 1i6 utf8
洦 ㄅㄛˊ bo2 1i6 utf8
淿 ㄅㄛˊ bo2 1i6 utf8
湐 ㄅㄛˊ bo2 1i6 utf8
煿 ㄅㄛˊ bo2 1i6 utf8
犻 ㄅㄛˊ bo2 1i6 utf8
瓸 ㄅㄛˊ bo2 1i6 utf8
盋 ㄅㄛˊ bo2 1i6 utf8
肑 ㄅㄛˊ bo2 1i6 utf8
艊 ㄅㄛˊ bo2 1i6 utf8
苩 ㄅㄛˊ bo2 1i6 utf8
萡 ㄅㄛˊ bo2 1i6 utf8
貃 ㄅㄛˊ bo2 1i6 utf8
馛 ㄅㄛˊ bo2 1i6 utf8
骲 ㄅㄛˊ bo2 1i6 utf8
髉 ㄅㄛˊ bo2 1i6 utf8
鮊 ㄅㄛˊ bo2 1i6 utf8
𡋯 ㄅㄛˊ bo2 1i6 utf8
𢫦 ㄅㄛˊ bo2 1i6 utf8
𥹸 ㄅㄛˊ bo2 1i6 utf8
蔔 ㄅㄛ˙ bo5 1i7 big5
逋 ㄅㄨ bu 1j big5
晡 ㄅㄨ bu 1j big5
餔 ㄅㄨ bu 1j big5
峬 ㄅㄨ bu 1j big5
鵏 ㄅㄨ bu 1j big5
庯 ㄅㄨ bu 1j utf8
陠 ㄅㄨ bu 1j utf8
補 ㄅㄨˇ bu3 1j3 big5
捕 ㄅㄨˇ bu3 1j3 big5
埔 ㄅㄨˇ bu3 1j3 big5
哺 ㄅㄨˇ bu3 1j3 big5
卜 ㄅㄨˇ bu3 1j3 big5
鳪 ㄅㄨˇ bu3 1j3 big5
獛 ㄅㄨˇ bu3 1j3 big5
䀯 ㄅㄨˇ bu3 1j3 utf8
䋠 ㄅㄨˇ bu3 1j3 utf8
虲 ㄅㄨˇ bu3 1j3 utf8
𣱶 ㄅㄨˇ bu3 1j3 utf8
𥃨 ㄅㄨˇ bu3 1j3 utf8
不 ㄅㄨˋ bu4 1j4 big5
部 ㄅㄨˋ bu4 1j4 big5
布 ㄅㄨˋ bu4 1j4 big5
步 ㄅㄨˋ bu4 1j4 big5
怖 ㄅㄨˋ bu4 1j4 big5
佈 ㄅㄨˋ bu4 1j4 big5
簿 ㄅㄨˋ bu4 1j4 big5
埠 ㄅㄨˋ bu4 1j4 big5
鈽 ㄅㄨˋ bu4 1j4 big5
蔀 ㄅㄨˋ bu4 1j4 big5
篰 ㄅㄨˋ bu4 1j4 big5
捗 ㄅㄨˋ bu4 1j4 big5
咘 ㄅㄨˋ bu4 1j4 big5
㐬 ㄅㄨˋ bu4 1j4 utf8
㧫 ㄅㄨˋ bu4 1j4 utf8
㱛 ㄅㄨˋ bu4 1j4 utf8
㳍 ㄅㄨˋ bu4 1j4 utf8
㻉 ㄅㄨˋ bu4 1j4 utf8
㾟 ㄅㄨˋ bu4 1j4 utf8
䝵 ㄅㄨˋ bu4 1j4 utf8
